SpType,Teff
O3V,44900
O4V,42900
O5V,41400
O5.5V,40500
O6V,39500
O6.5V,38300
O7V,37100
O7.5V,36100
O8V,35100
O8.5V,34300
O9V,33300
O9.5V,31900
B0V,31400
B0.5V,29000
B1V,26000
B1.5V,24500
B2V,20600
B2.5V,18500
B3V,17000
B4V,16400
B5V,15700
B6V,14500
B7V,14000
B8V,12300
B9V,10700
B9.5V,10400
A0V,9700
A1V,9300
A2V,8800
A3V,8600
A4V,8250
A5V,8100
A6V,7910
A7V,7760
A8V,7590
A9V,7400
F0V,7220
F1V,7020
F2V,6820
F3V,6750
F4V,6670
F5V,6550
F6V,6350
F7V,6280
F8V,6180
F9V,6050
F9.5V,5990
G0V,5930
G1V,5860
G2V,5770
G3V,5720
G4V,5680
G5V,5660
G6V,5600
G7V,5550
G8V,5480
G9V,5380
K0V,5270
K1V,5170
K2V,5100
K3V,4830
K4V,4600
K5V,4440
K6V,4300
K7V,4100
K8V,3990
K9V,3930
M0V,3850
M0.5V,3770
M1V,3660
M1.5V,3620
M2V,3560
M2.5V,3470
M3V,3430
M3.5V,3270
M4V,3210
M4.5V,3110
M5V,3060
M5.5V,2930
M6V,2810
M6.5V,2740
M7V,2680
M7.5V,2630
M8V,2570
M8.5V,2420
M9V,2380
M9.5V,2350
L0V,2270
L1V,2160
L2V,2060
L3V,1920
L4V,1870
L5V,1710
L6V,1550
L7V,1530
L8V,1420
L9V,1370
T0V,1255
T1V,1240
T2V,1220
T3V,1200
T4V,1180
T4.5V,1170
T5V,1160
T5.5V,1040
T6V,950
T7V,825
T7.5V,750
T8V,680
T8.5V,600
T9V,560
T9.5V,510
Y0V,450
Y0.5V,400
Y1V,360
Y1.5V,325
Y2V,320
Y4V,250
